GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CDKN2A	ENSG00000147889	ENST00000479692	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
CDKN2A	ENSG00000147889	ENST00000494262	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
CDKN2A	ENSG00000147889	ENST00000497750	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
CDKN2A	ENSG00000147889	ENST00000498124	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
CDKN2A	ENSG00000147889	ENST00000498628	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
CDKN2A	ENSG00000147889	ENST00000530628	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
CDKN2A	ENSG00000147889	ENST00000577854	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	1
CDKN2A	ENSG00000147889	ENST00000578845	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
CDKN2A	ENSG00000147889	ENST00000579122	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0
CDKN2A	ENSG00000147889	ENST00000579755	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0
CDKN2A-DT	ENSG00000224854	ENST00000441769		0	0	0	1	0	0	1	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367922	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000415555	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000433757	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000446985	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000458105	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0
DDR2	ENSG00000162733	ENST00000671979	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000672207	processed_transcript	0	0	0	4	0	0	0	4	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	0	1	0	1	0	0	0	1	0	0	0	1	0
EGFR	ENSG00000146648	ENST00000342916	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000344576	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
EGFR	ENSG00000146648	ENST00000454757	protein_coding	0	1	0	1	0	0	0	1	0	0	0	1	0
EGFR	ENSG00000146648	ENST00000455089	protein_coding	0	1	0	1	0	0	0	1	0	0	0	1	0
EGFR	ENSG00000146648	ENST00000638463	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
EGFR-AS1	ENSG00000224057	ENST00000442411		0	0	0	1	0	0	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397090	retained_intron	0	0	0	1	0	0	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000413133	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000434187	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000464163	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000466021	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000470826	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000474970	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000475621	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000484370	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000487647	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000496296	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000525001	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000526570	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000526742	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000527203	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000529552	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530568	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530701	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000532386	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000533668	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000619564	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000649678	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0
KCNMB3	ENSG00000171121	ENST00000485523	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000256078	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000311936	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
KRAS	ENSG00000133703	ENST00000557334	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000263967	protein_coding	0	0	2	2	1	1	0	1	1	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000462255	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000468036	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000477735	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000643187	protein_coding	0	0	2	2	1	1	0	1	1	0	0	0	0
ROS1	ENSG00000047936	ENST00000368507	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
ROS1	ENSG00000047936	ENST00000368508	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0
TP53	ENSG00000141510	ENST00000269305	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000359597	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000413465	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000420246	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000445888	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000455263	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000503591	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000504290	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000504937	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000505014	retained_intron	0	0	0	2	0	0	2	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000508793	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000509690	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000510385	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000514944	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000574684	processed_transcript	0	0	0	2	0	0	2	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000576024	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
TP53	ENSG00000141510	ENST00000604348	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610292	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610538	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610623	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000615910	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000617185	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000618944	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000619186	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000619485	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000620739	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000622645	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000635293	nonsense_mediated_decay	0	0	0	2	0	0	0	2	0	0	0	0	0
