GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
FGFR1	ENSG00000077782	ENST00000619564	protein_coding	0	0	2	0	0	0	2	0	0	0	0
FGFR1	ENSG00000077782	ENST00000649678	nonsense_mediated_decay	0	0	2	0	0	0	2	0	0	0	0
KRAS	ENSG00000133703	ENST00000256078	protein_coding	0	0	1	0	0	0	1	0	0	0	0
KRAS	ENSG00000133703	ENST00000311936	protein_coding	0	0	1	0	0	0	1	0	0	0	0
KRAS	ENSG00000133703	ENST00000557334	protein_coding	0	0	1	0	0	0	1	0	0	0	0
MIEN1	ENSG00000141741	ENST00000394231	protein_coding	0	0	1	0	0	1	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000469568	retained_intron	0	0	1	0	0	1	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000474210	processed_transcript	0	0	1	0	0	1	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000498164	retained_intron	0	0	1	0	0	1	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000577810	protein_coding	0	0	1	0	0	1	0	0	0	0	0
MIEN1	ENSG00000141741	ENST00000582963	retained_intron	0	0	1	0	0	1	0	0	0	0	0
MIR4728	ENSG00000265178	ENST00000580969	miRNA	0	0	1	0	0	0	0	0	0	0	1
N4BP2L1	ENSG00000139597	ENST00000380130	protein_coding	0	0	1	0	0	1	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000380133	protein_coding	0	0	1	0	0	1	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000380139	protein_coding	0	0	1	0	0	1	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000459716	nonsense_mediated_decay	0	0	1	0	0	1	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000495479	protein_coding	0	0	1	0	0	1	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000530622	protein_coding	0	0	1	0	0	1	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000613078	protein_coding	0	0	1	0	0	1	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000635178	nonsense_mediated_decay	0	0	1	0	0	1	0	0	0	0	0
N4BP2L1	ENSG00000139597	ENST00000635608	protein_coding	0	0	1	0	0	1	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000263967	protein_coding	0	0	1	0	0	0	1	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000468036	protein_coding	0	0	1	0	0	1	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000477735	protein_coding	0	0	1	0	0	1	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000643187	protein_coding	0	0	1	0	0	0	1	0	0	0	0
ROS1	ENSG00000047936	ENST00000368507	protein_coding	1	0	6	0	0	0	6	0	0	1	0
ROS1	ENSG00000047936	ENST00000368508	protein_coding	1	0	6	0	0	0	6	0	0	1	0
TP53	ENSG00000141510	ENST00000269305	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000359597	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000413465	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000420246	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000445888	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000455263	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000503591	protein_coding	0	0	2	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000504290	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000504937	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000505014	retained_intron	0	0	2	0	0	0	0	0	2	0	0
TP53	ENSG00000141510	ENST00000508793	protein_coding	0	1	1	0	0	1	0	1	0	0	0
TP53	ENSG00000141510	ENST00000509690	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000510385	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000514944	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000574684	processed_transcript	0	0	2	0	0	0	1	0	0	0	1
TP53	ENSG00000141510	ENST00000576024	protein_coding	0	0	2	0	0	0	0	0	0	0	2
TP53	ENSG00000141510	ENST00000604348	protein_coding	0	0	2	0	0	2	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610292	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000610538	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000610623	protein_coding	1	0	1	0	1	0	0	0	0	1	0
TP53	ENSG00000141510	ENST00000615910	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000617185	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000618944	protein_coding	1	0	1	0	1	0	0	0	0	1	0
TP53	ENSG00000141510	ENST00000619186	protein_coding	1	0	1	0	1	0	0	0	0	1	0
TP53	ENSG00000141510	ENST00000619485	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000620739	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000622645	protein_coding	1	1	0	0	0	0	0	1	0	1	0
TP53	ENSG00000141510	ENST00000635293	nonsense_mediated_decay	0	0	2	0	0	0	0	0	2	0	0
