GeneName	GeneId	TranscriptId	BioType	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_upstream_gene_variant
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	1	2	0	0	2	1	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	3	0	0	3	0	0	0
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	1	2	0	0	2	1	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	1	2	0	0	2	1	0	0
FGFR1	ENSG00000077782	ENST00000413133	protein_coding	0	1	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	1	2	0	0	2	1	0	0
FGFR1	ENSG00000077782	ENST00000434187	protein_coding	0	1	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	1	2	0	0	2	1	0	0
FGFR1	ENSG00000077782	ENST00000464163	retained_intron	0	1	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000466021	retained_intron	0	2	0	1	0	0	1	0
FGFR1	ENSG00000077782	ENST00000470826	retained_intron	0	2	0	1	1	0	0	0
FGFR1	ENSG00000077782	ENST00000474970	retained_intron	0	2	0	1	0	0	0	1
FGFR1	ENSG00000077782	ENST00000475621	retained_intron	0	2	0	0	0	0	1	1
FGFR1	ENSG00000077782	ENST00000484370	nonsense_mediated_decay	0	2	0	1	1	0	0	0
FGFR1	ENSG00000077782	ENST00000487647	nonsense_mediated_decay	0	4	1	1	1	0	1	0
FGFR1	ENSG00000077782	ENST00000496296	retained_intron	0	2	0	1	1	0	0	0
FGFR1	ENSG00000077782	ENST00000524528	retained_intron	0	2	0	1	0	0	0	1
FGFR1	ENSG00000077782	ENST00000525001	protein_coding	0	2	0	1	1	0	0	0
FGFR1	ENSG00000077782	ENST00000526570	retained_intron	0	3	0	0	1	0	2	0
FGFR1	ENSG00000077782	ENST00000526688	processed_transcript	0	1	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000526742	protein_coding	0	2	0	1	1	0	0	0
FGFR1	ENSG00000077782	ENST00000527114	retained_intron	0	2	0	0	1	0	0	1
FGFR1	ENSG00000077782	ENST00000527203	processed_transcript	0	2	0	1	1	0	0	0
FGFR1	ENSG00000077782	ENST00000527745	retained_intron	0	2	0	1	0	0	0	1
FGFR1	ENSG00000077782	ENST00000529552	protein_coding	0	2	0	1	1	0	0	0
FGFR1	ENSG00000077782	ENST00000530568	protein_coding	0	1	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000530701	processed_transcript	0	2	0	1	1	0	0	0
FGFR1	ENSG00000077782	ENST00000531196	nonsense_mediated_decay	0	1	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000532386	retained_intron	0	2	0	1	0	0	0	1
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	1	2	0	0	2	1	0	0
FGFR1	ENSG00000077782	ENST00000533619	retained_intron	0	2	0	0	1	0	0	1
FGFR1	ENSG00000077782	ENST00000533668	protein_coding	0	2	0	1	1	0	0	0
FGFR1	ENSG00000077782	ENST00000619564	protein_coding	0	3	0	0	3	0	0	0
FGFR1	ENSG00000077782	ENST00000649678	nonsense_mediated_decay	0	3	0	0	2	0	1	0
PIK3CA	ENSG00000121879	ENST00000263967	protein_coding	0	1	0	0	1	0	0	0
PIK3CA	ENSG00000121879	ENST00000468036	protein_coding	0	1	0	1	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000477735	protein_coding	0	1	0	1	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000643187	protein_coding	0	1	0	0	1	0	0	0
ROS1	ENSG00000047936	ENST00000368507	protein_coding	2	1	0	0	1	2	0	0
ROS1	ENSG00000047936	ENST00000368508	protein_coding	2	1	0	0	1	2	0	0
RPS20P22	ENSG00000239218	ENST00000473700	transcribed_processed_pseudogene	0	1	0	1	0	0	0	0
RPS20P22	ENSG00000239218	ENST00000488192	processed_transcript	0	1	0	1	0	0	0	0
