GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	1	2	0	2	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	0	0	3	0	3	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397090	retained_intron	0	0	1	0	0	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	0	1	2	0	2	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	0	3	0	3	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	0	1	2	0	2	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	0	1	2	0	2	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000413133	protein_coding	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	0	1	2	0	2	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000434187	protein_coding	0	0	1	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	0	1	2	0	2	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000464163	retained_intron	0	0	1	1	0	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000466021	retained_intron	0	0	2	1	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000470826	retained_intron	0	0	2	1	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000474970	retained_intron	1	0	0	0	0	0	1	1	0	0
FGFR1	ENSG00000077782	ENST00000475621	retained_intron	0	0	2	1	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000484370	nonsense_mediated_decay	1	0	0	0	0	0	1	1	0	0
FGFR1	ENSG00000077782	ENST00000487647	nonsense_mediated_decay	0	0	3	1	2	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000496296	retained_intron	0	0	2	1	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000524528	retained_intron	0	0	2	1	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000525001	protein_coding	0	1	0	0	0	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000526570	retained_intron	0	0	3	0	2	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000526688	processed_transcript	0	0	1	0	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000526742	protein_coding	0	0	1	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000527114	retained_intron	0	0	2	1	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000527203	processed_transcript	0	0	1	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000527745	retained_intron	0	0	2	1	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000529552	protein_coding	0	0	1	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530568	protein_coding	0	0	1	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000530701	processed_transcript	0	0	2	1	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000531196	nonsense_mediated_decay	0	0	2	0	1	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000532386	retained_intron	1	0	0	0	0	0	1	1	0	0
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	0	1	2	0	2	1	0	1	0	0
FGFR1	ENSG00000077782	ENST00000533619	retained_intron	0	0	2	1	0	0	0	0	0	1
FGFR1	ENSG00000077782	ENST00000533668	protein_coding	0	0	1	0	1	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000619564	protein_coding	0	0	3	0	3	0	0	0	0	0
FGFR1	ENSG00000077782	ENST00000649678	nonsense_mediated_decay	1	0	2	0	2	0	1	1	0	0
LETM2	ENSG00000165046	ENST00000523268	nonsense_mediated_decay	0	0	1	1	0	0	0	0	0	0
NRAS	ENSG00000213281	ENST00000369535	protein_coding	1	0	0	0	1	0	0	1	0	0
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	0	1	0	1	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000507536	retained_intron	0	0	1	1	0	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000509490	nonsense_mediated_decay	0	0	1	1	0	0	0	0	0	0
RN7SL861P	ENSG00000243173	ENST00000473793	misc_RNA	0	0	1	1	0	0	0	0	0	0
RPS20P22	ENSG00000239218	ENST00000473700	transcribed_processed_pseudogene	0	0	1	1	0	0	0	0	0	0
RPS20P22	ENSG00000239218	ENST00000488192	processed_transcript	0	0	1	1	0	0	0	0	0	0
