GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
MIEN1	ENSG00000141741	ENST00000582963	retained_intron	0	0	3	0	3	0	0	0	0	0	0
MIR4728	ENSG00000265178	ENST00000580969	miRNA	0	0	3	0	0	0	0	0	0	0	3
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	0	1	0	0	0	1	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000507536	retained_intron	0	0	1	0	1	0	0	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000509490	nonsense_mediated_decay	0	0	1	0	1	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000263967	protein_coding	0	0	2	0	0	0	2	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000468036	protein_coding	0	0	2	0	2	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000477735	protein_coding	0	0	2	0	2	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000643187	protein_coding	0	0	2	0	0	0	2	0	0	0	0
RN7SL861P	ENSG00000243173	ENST00000473793	misc_RNA	0	0	1	0	1	0	0	0	0	0	0
ROS1	ENSG00000047936	ENST00000368507	protein_coding	0	1	4	0	0	0	4	0	0	1	0
ROS1	ENSG00000047936	ENST00000368508	protein_coding	0	1	4	0	0	0	4	0	0	1	0
TP53	ENSG00000141510	ENST00000269305	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000359597	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000413465	protein_coding	0	0	1	0	0	0	1	0	0	0	0
TP53	ENSG00000141510	ENST00000420246	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000445888	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000455263	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000503591	protein_coding	0	0	1	0	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000504290	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000504937	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000505014	retained_intron	0	0	1	0	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000508793	protein_coding	0	0	1	0	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000509690	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000510385	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000514944	protein_coding	0	0	1	0	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000574684	processed_transcript	0	0	1	0	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000576024	protein_coding	0	0	1	0	0	0	0	0	0	0	1
TP53	ENSG00000141510	ENST00000604348	protein_coding	0	0	1	0	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610292	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000610538	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000610623	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000615910	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000617185	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000618944	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000619186	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000619485	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000620739	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000622645	protein_coding	0	1	0	0	0	0	1	0	1	0	0
TP53	ENSG00000141510	ENST00000635293	nonsense_mediated_decay	0	1	0	0	0	0	1	0	1	0	0
